strain	replicate	conc	time	value
D	2	1.95	13	0.069
D	2	1.95	14	0.072
D	2	1.95	15	0.074
D	2	1.95	16	0.075
D	2	1.95	17	0.078
D	2	1.95	18	0.077
D	2	1.95	19	0.082
D	2	1.95	20	0.081
D	2	1.95	21	0.082
D	2	1.95	22	0.085
D	2	1.95	23	0.087
D	2	1.95	24	0.086
D	2	1.95	25	0.09
D	2	1.95	26	0.087
D	2	1.95	27	0.093
D	2	1.95	28	0.09
D	2	1.95	29	0.091
D	2	1.95	30	0.092
D	2	3.91	0	0.009
D	2	3.91	1	0.01
D	2	3.91	2	0.011
D	2	3.91	3	0.014
D	2	3.91	4	0.019
D	2	3.91	5	0.028
D	2	3.91	6	0.037
D	2	3.91	7	0.044
D	2	3.91	8	0.05
D	2	3.91	9	0.056
D	2	3.91	10	0.061
D	2	3.91	11	0.065
D	2	3.91	12	0.069
D	2	3.91	13	0.073
D	2	3.91	14	0.076
D	2	3.91	15	0.079
D	2	3.91	16	0.078
D	2	3.91	17	0.084
D	2	3.91	18	0.083
D	2	3.91	19	0.086
D	2	3.91	20	0.087
D	2	3.91	21	0.09
D	2	3.91	22	0.092
D	2	3.91	23	0.093
D	2	3.91	24	0.095
D	2	3.91	25	0.097
D	2	3.91	26	0.097
D	2	3.91	27	0.099
D	2	3.91	28	0.1
D	2	3.91	29	0.1
D	2	3.91	30	0.102
D	2	7.81	0	0.016
D	2	7.81	1	0.017
D	2	7.81	2	0.018
D	2	7.81	3	0.02
D	2	7.81	4	0.026
D	2	7.81	5	0.042
D	2	7.81	6	0.043
D	2	7.81	7	0.05
D	2	7.81	8	0.056
D	2	7.81	9	0.062
D	2	7.81	10	0.068
D	2	7.81	11	0.072
D	2	7.81	12	0.076
D	2	7.81	13	0.079
D	2	7.81	14	0.082
D	2	7.81	15	0.085
D	2	7.81	16	0.086
D	2	7.81	17	0.089
D	2	7.81	18	0.091
D	2	7.81	19	0.092
D	2	7.81	20	0.094
D	2	7.81	21	0.094
D	2	7.81	22	0.096
D	2	7.81	23	0.099
D	2	7.81	24	0.1
D	2	7.81	25	0.103
D	2	7.81	26	0.102
D	2	7.81	27	0.107
D	2	7.81	28	0.106
D	2	7.81	29	0.106
D	2	7.81	30	0.108
D	2	15.63	0	0.008
D	2	15.63	1	0.008
D	2	15.63	2	0.009
D	2	15.63	3	0.011
D	2	15.63	4	0.014
D	2	15.63	5	0.027
D	2	15.63	6	0.028
D	2	15.63	7	0.037
D	2	15.63	8	0.046
D	2	15.63	9	0.052
D	2	15.63	10	0.059
D	2	15.63	11	0.066
D	2	15.63	12	0.07
D	2	15.63	13	0.075
D	2	15.63	14	0.079
